episode,step,elapsed_s,reward,electricity_cost,carbon_emissions,ramping,load_factor,daily_peak,comfort_violation,actor_loss,critic_loss,entropy,kl_approx
20,14400,41.2,-40.60661076474935,5651.167231278671,8301.2961761279,13.657268896367814,0.4713568986689052,104.98025512695312,0.0,-0.027359213825548068,9.477080941200256,7.115356206893921,1.089581847190857
21,15120,43.3,-44.42715981602669,6197.647153618831,9113.196631261342,14.722765690750546,0.5024168557073854,108.12300872802734,0.0,0.12059498555026948,10.232155621051788,7.118552714586258,1.0939005464315414
22,15840,45.3,-38.94633135013282,5427.2188913650325,7942.971253242494,13.283572120136684,0.4720727398437644,100.29647064208984,0.0,-0.04687286258558743,8.918160855770111,7.121516555547714,1.095327340066433
23,16560,47.3,-44.16819930076599,6187.648047593711,9116.543965187062,14.09880053864585,0.5057188047948653,107.45650482177734,0.0,0.12286392785608768,9.956283450126648,7.127661168575287,1.0987571738660336
24,17280,49.5,-42.138657179661095,5890.3507113271535,8601.705258347505,14.331007899178399,0.48528051783246395,105.65821838378906,0.0,-0.007345201505813748,10.318620145320892,7.137440532445908,1.0994918942451477
25,18000,51.4,-40.270826685242355,5637.194406653083,8253.234204598186,13.428286709388097,0.5077655449546591,96.88856506347656,0.0,-0.028173419821541756,9.07248717546463,7.146776050329208,1.1058831587433815
26,18720,53.5,-45.28137283958495,6355.779250043614,9327.69007158898,14.636834122074974,0.5068340511850673,109.70335388183594,0.0,0.16650790302082896,12.853465735912323,7.148849219083786,1.108854316174984
27,19440,55.4,-44.101027524098754,6173.456117336829,9029.750509034171,14.732093416319954,0.48505844978998114,110.96685028076172,0.0,0.09080126252956688,10.442894518375397,7.147258758544922,1.1069972664117813
28,20160,57.3,-45.76823031716049,6457.318831604927,9443.017004618174,14.590641939640046,0.4840127660342077,116.29620361328125,0.0,0.134907360188663,13.00393146276474,7.1413975059986115,1.1061648055911064
29,20880,59.3,-42.53556608688086,6011.243402968523,8809.410674479479,13.266107058525085,0.49586044841211435,105.9007339477539,0.0,-0.014275247522164136,11.612555086612701,7.141764789819717,1.105200208723545
30,21600,61.2,-39.92037326283753,5639.482174580826,8267.850085895541,12.390652383698358,0.4706304030584437,104.71868896484375,0.0,-0.038654139963909984,11.667775392532349,7.148642033338547,1.1097837835550308
31,22320,63.3,-40.83206774760038,5705.273624925967,8387.865578187939,13.326216077804565,0.4653827656594637,107.43672180175781,0.0,-0.02467328164493665,12.276047348976135,7.15200474858284,1.112282857298851
32,23040,65.4,-41.02926968317479,5769.422682072078,8475.45448434973,13.005173038111792,0.4941891306712188,102.230712890625,0.0,-0.017574570956639946,9.564822018146515,7.1505410969257355,1.1099949106574059
33,23760,67.4,-45.333125254139304,6430.306042187145,9448.128666657456,13.63076388835907,0.5231673129704754,107.65068054199219,0.0,0.14821339724585414,15.080940306186676,7.152251601219177,1.1174261718988419
34,24480,69.5,-44.52855670917779,6306.760290559948,9225.853799918184,13.861639200316535,0.49973379505095433,110.04730987548828,0.0,0.08900112239643931,13.890305161476135,7.161454409360886,1.1171395182609558
35,25200,71.5,-44.15374671295285,6242.55454925302,9121.214449538236,13.875843784544204,0.4511984284649385,120.50267028808594,0.0,0.04125007096445188,13.553851902484894,7.172803103923798,1.1232727617025375
36,25920,73.4,-39.49948486685753,5547.02315284561,8117.610524824143,12.838591403431362,0.45787462874698637,105.68009948730469,0.0,-0.04239827208220959,12.416715443134308,7.184466898441315,1.13103798776865
37,26640,75.3,-38.67759779654443,5381.078947012861,7912.498323390963,12.953501447041829,0.4708380347819975,100.17369079589844,0.0,-0.03883037966443226,11.978663325309753,7.189224272966385,1.133791722357273
38,27360,77.3,-41.898132828995585,5921.917619739368,8678.544280042635,13.02592638598548,0.4832496693544737,107.05005645751953,0.0,0.014973327866755426,11.879344820976257,7.189008295536041,1.1321329027414322
39,28080,79.3,-41.50308598950505,5803.014679762882,8551.035359129908,13.418762601746453,0.5156843927307226,98.84308624267578,0.0,-0.007235375291202217,10.345884799957275,7.185814827680588,1.1383922472596169
40,28800,81.3,-46.08702867291868,6518.643934588441,9593.975421472534,13.891474771499634,0.4927530713348588,116.05953979492188,0.0,0.1938756350427866,17.185231506824493,7.181195318698883,1.139410987496376
41,29520,83.2,-41.078780157491565,5818.220586384816,8540.942296053883,12.485915478070577,0.4939721764067421,103.06587219238281,0.0,-0.020354330801637843,12.478467464447021,7.1782359182834625,1.1464532241225243
42,30240,85.1,-41.09591423533857,5780.020335324666,8500.453844727997,12.883099660608504,0.4796376798101713,105.6429214477539,0.0,-0.01276894511829596,10.429663181304932,7.175427466630936,1.1379057988524437
43,30960,87.0,-42.39541729725897,5974.524537656351,8815.853231827256,12.763516996966468,0.45144023291632707,116.40608215332031,0.0,0.030922869977075607,13.48446923494339,7.1783127784729,1.1391323059797287
44,31680,89.2,-41.25332105811685,5794.628000493127,8504.603036975863,13.227510001924303,0.48802710024418194,103.87754821777344,0.0,-0.010853400046471506,11.677176475524902,7.183142840862274,1.144617110490799
45,32400,91.2,-40.71638839133084,5695.380132471217,8389.271632381922,13.120792525344426,0.4970040312376758,100.61805725097656,0.0,-0.012501910736318678,12.419680535793304,7.183666855096817,1.145301766693592
46,33120,93.1,-38.81178660085425,5428.936360397548,7975.490266784674,12.717893966039021,0.49904539779462553,95.26402282714844,0.0,-0.032290588424075395,12.393736124038696,7.181348353624344,1.1432102173566818
47,33840,95.1,-38.88919957075268,5515.225220326266,8046.7081177053415,12.195970437261794,0.4933024530926465,97.233642578125,0.0,-0.026349739418947138,11.641177535057068,7.179953306913376,1.1437862515449524
48,34560,97.0,-41.49384038615972,5817.786784281413,8555.436002040384,13.297901652918922,0.49028576633864623,104.01702880859375,0.0,0.0588029659120366,12.495432913303375,7.183471739292145,1.1412948742508888
49,35280,98.8,-40.98303754068911,5789.955079552852,8477.60799258708,12.731566233105129,0.43799858862651075,115.37512969970703,0.0,0.011017408425686881,11.429596245288849,7.188020497560501,1.146286278963089
50,36000,100.8,-40.308439201675355,5683.129400885564,8341.811802928438,12.576776866118113,0.4720931977475712,105.32809448242188,0.0,-0.012041452981065959,10.039343416690826,7.180919706821442,1.1475858241319656
